,,,,,,,(These values will be the same for all segments walked on a given census),,,,,,(these will differ among segments),,,,,,,,,,,
Census #,Segment number,Hab,Mulai,End,Segment length (# tags),Distance (m),Tanggal,Siapa buat sensus,Jam,Tingkat lembab,Histori hujan,Tipe hujan,Count pacat tupai,Count pacat biasa,Tingkat lembab,Cuaca,Comments,Lama hujan,,,,,,
1A,1A-01,PS,KP 37,KP 27,10,500,2012-11-13,LD,05:30 AM,basah,kemarin,sedang,0,1,basah,cerah,,,,,,,,
1A,1A-02,PS,KP 27,KP 17,10,500,2012-11-13,LD,05:30 AM,basah,kemarin,sedang,0,4,basah,cerah,,,,,,,,
1A,1A-03,PS,TZ 0,BD 13,10,500,2012-11-13,LD,05:30 AM,basah,kemarin,sedang,0,1,basah,cerah,,,,,,,,
1A,1A-04,PS,BD 13,BD 03,10,500,2012-11-13,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,,,,,,,
1A,1A-05,PS,BD 03,RB 20,10,500,2012-11-13,LD,05:30 AM,basah,kemarin,sedang,0,3,basah,cerah,,,,,,,,
1A,1A-06,PS,KP 00,KP 10,10,500,2012-11-13,LD,05:30 AM,basah,kemarin,sedang,1,0,basah,cerah,,,,,,,,
1A,1A-07,PS,KP 10,KP15,5,250,2012-11-13,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,,,,,,,
1B,1B-01,PS,KP15,KP 10,5,250,2012-11-29,SL,05:30 AM,basah,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
1B,1B-02,PS,KP 10,KP 00,10,500,2012-11-29,SL,05:30 AM,basah,Tadi malam,Sedang,0,1,basah,cerah,,,,,,,,
1B,1B-03,PS,RB 20,BD 03,10,500,2012-11-29,SL,05:30 AM,basah,Tadi malam,Sedang,0,0,basah,mendung,,,,,,,,
1B,1B-04,PS,BO 03,BD 13,10,500,2012-11-29,SL,05:30 AM,basah,Tadi malam,Sedang,0,1,basah,cerah,,,,,,,,
1B,1B-05,PS,BD 13,TZ 00,10,500,2012-11-29,SL,05:30 AM,basah,Tadi malam,Sedang,0,1,basah,cerah,,,,,,,,
1B,1B-06,PS,KP 17,KP 27,10,500,2012-11-29,SL,05:30 AM,basah,Tadi malam,Sedang,0,0,basah,cerah,,,,,,,,
1B,1B-07,PS,KP 27,KP 37,10,500,2012-11-29,SL,05:30 AM,basah,Tadi malam,Sedang,0,1,basah,mendung,,,,,,,,
2A,2A-01,PS,DG 0,IF 15,10,500,2012-11-15,AB,05:30 AM,basah,kemarin,sedang,0,0,basah,mendung,,,,,,,,
2A,2A-02,PS,IF 15,IF 25,10,500,2012-11-15,AB,05:30 AM,basah,kemarin,sedang,0,0,lembab,cerah,,,,,,,,
2A,2A-03,PS,IF 25,IF 35,10,500,2012-11-15,AB,05:30 AM,basah,kemarin,sedang,0,1,lembab,cerah,,,,,,,,
2A,2A-04,PS,IF 35,IF 45,10,500,2012-11-15,AB,05:30 AM,basah,kemarin,sedang,0,0,lembab,cearh,,,,,,,,
2A,2A-05,PS,IF 45,RG 00,10,500,2012-11-15,AB,05:30 AM,basah,kemarin,sedang,0,0,lembab,cearh,,,,,,,,
