"","FT","Census","Segment","Start","End","Segment_Tags","Distance","Date","Observer","Hour","Humidity_Census","Rain_History","Rain_Type","H.picta","H.zeylanica","Humidity_Segment","Weather","Comments","Long_Rain","Observer.S","year","dates","MinAlt","MaxAlt","MedAlt","partition"
"1","1.PS","1A","1A-01","KP 37","KP 27",10,500,"2012-11-13","LD","05:30 AM","wet","3.yesterday","3.medium","0","1","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"2","1.PS","1A","1A-02","KP 27","KP 17",10,500,"2012-11-13","LD","05:30 AM","wet","3.yesterday","3.medium","0","4","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"3","1.PS","1A","1A-03","TZ 0","BD 13",10,500,"2012-11-13","LD","05:30 AM","wet","3.yesterday","3.medium","0","1","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"4","1.PS","1A","1A-04","BD 13","BD 03",10,500,"2012-11-13","LD","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"5","1.PS","1A","1A-05","BD 03","RB 20",10,500,"2012-11-13","LD","05:30 AM","wet","3.yesterday","3.medium","0","3","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"6","1.PS","1A","1A-06","KP 00","KP 10",10,500,"2012-11-13","LD","05:30 AM","wet","3.yesterday","3.medium","1","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"7","1.PS","1A","1A-07","KP 10","KP15",5,250,"2012-11-13","LD","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"8","1.PS","1B","1B-01","KP15","KP 10",5,250,"2012-11-29","SL","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","","SL","2012",NA,5,10,7.5,"PS.I"
"9","1.PS","1B","1B-02","KP 10","KP 00",10,500,"2012-11-29","SL","05:30 AM","wet","4.last_night","3.medium","0","1","3.wet","1.clear","","","SL","2012",NA,5,10,7.5,"PS.I"
"10","1.PS","1B","1B-03","RB 20","BD 03",10,500,"2012-11-29","SL","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","5.cloudy","","","SL","2012",NA,5,10,7.5,"PS.I"
"11","1.PS","1B","1B-04","BO 03","BD 13",10,500,"2012-11-29","SL","05:30 AM","wet","4.last_night","3.medium","0","1","3.wet","1.clear","","","SL","2012",NA,5,10,7.5,"PS.I"
"12","1.PS","1B","1B-05","BD 13","TZ 00",10,500,"2012-11-29","SL","05:30 AM","wet","4.last_night","3.medium","0","1","3.wet","1.clear","","","SL","2012",NA,5,10,7.5,"PS.I"
"13","1.PS","1B","1B-06","KP 17","KP 27",10,500,"2012-11-29","SL","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","","","SL","2012",NA,5,10,7.5,"PS.I"
"14","1.PS","1B","1B-07","KP 27","KP 37",10,500,"2012-11-29","SL","05:30 AM","wet","4.last_night","3.medium","0","1","3.wet","5.cloudy","","","SL","2012",NA,5,10,7.5,"PS.I"
"15","1.PS","2A","2A-01","DG 0","IF 15",10,500,"2012-11-15","AB","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","5.cloudy","","","AB","2012",NA,5,10,7.5,"PS.I"
"16","1.PS","2A","2A-02","IF 15","IF 25",10,500,"2012-11-15","AB","05:30 AM","wet","3.yesterday","3.medium","0","0","2.moist","1.clear","","","AB","2012",NA,5,10,7.5,"PS.I"
"17","1.PS","2A","2A-03","IF 25","IF 35",10,500,"2012-11-15","AB","05:30 AM","wet","3.yesterday","3.medium","0","1","2.moist","1.clear","","","AB","2012",NA,5,10,7.5,"PS.I"
"18","1.PS","2A","2A-04","IF 35","IF 45",10,500,"2012-11-15","AB","05:30 AM","wet","3.yesterday","3.medium","0","0","2.moist","1.clear","","","AB","2012",NA,5,10,7.5,"PS.I"
"19","1.PS","2A","2A-05","IF 45","RG 00",10,500,"2012-11-15","AB","05:30 AM","wet","3.yesterday","3.medium","0","0","2.moist","1.clear","","","AB","2012",NA,5,10,7.5,"PS.I"
"20","1.PS","2A","2A-06","TZ 27","TZ 17",10,500,"2012-11-15","AB","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","6.drizzle","","","AB","2012",NA,5,10,7.5,"PS.I"
"21","1.PS","2A","2A-07","TZ 17","TZ 07",10,500,"2012-11-15","AB","05:30 AM","wet","3.yesterday","3.medium","0","0","2.moist","5.cloudy","","","AB","2012",NA,5,10,7.5,"PS.I"
"22","1.PS","2B","2B-01","TZ 07","TZ 17",10,500,"2012-11-30","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"23","1.PS","2B","2B-02","TZ 17","TZ 27",10,500,"2012-11-30","LD","05:30 AM","wet","3.yesterday","4.heavy","0","1","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"24","1.PS","2B","2B-03","RG 00","IF 45",10,500,"2012-11-30","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"25","1.PS","2B","2B-04","IF 45","IF 35",10,500,"2012-11-30","LD","05:30 AM","wet","3.yesterday","4.heavy","0","2","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
"26","1.PS","2B","2B-05","IF 35","IF 25",10,500,"2012-11-30","LD","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","1.clear","","","LD","2012",NA,5,10,7.5,"PS.I"
